question,answer,source,intent
under what circumstances can an executive magistrate intervene in a dispute regarding the right of user of any land or water within his local jurisdiction?,"an executive magistrate intervenes when he is satisfied from the report of a police officer or upon other information, that a dispute likely to cause a breach of the peace exists.",CrPC,law_info
what order does the executive magistrate make in a dispute concerning the use of land or water?,"the executive magistrate makes an order in writing, requiring the parties concerned in such dispute to attend his court in person or by pleader on a specified date and time and to put in written statements of their respective claims.",CrPC,law_info
what does the executive magistrate require parties involved in land or water disputes to do?,the executive magistrate requires the parties involved in such disputes to attend his court in person or by pleader on a specified date and time and to put in written statements of their respective claims.,CrPC,law_info
what does the expression land or water mean in this context?,the expression land or water has the meaning given to it in subsection 2 of section 145.,CrPC,law_info
where is the meaning of the expression land or water specified?,the expression land or water is specified in subsection 2 of section 145.,CrPC,law_info
what is the role of the magistrate in pursuing the statements?,"the magistrate hears the parties, receives all such evidence as may be produced by them respectively, considers the effect of such evidence, takes further evidence if necessary and decides whether such right exists.",CrPC,law_info
"who hears the parties, receives evidence, considers the effects of the evidence, takes further evidence if necessary, and decides whether such right exists when pursuing the statements?",the magistrate,CrPC,law_info
what can the magistrate do if he determines that such rights exist?,"the magistrate may make an order prohibiting any interference with the exercise of such right, including, in a proper case, an order for the removal of any obstruction in the exercise of any such right.",CrPC,law_info
what may a magistrate do when he determines that certain rights are being obstructed or interfered with?,"the magistrate may make an order prohibiting any interference with the exercise of such right, including, in a proper case, an order for the removal of any obstruction in the exercise of any such right.",CrPC,law_info
what is the condition for the magistrate to make an order for rights exercisable at all times of the year?,the magistrate cannot make an order for rights exercisable at all times of the year unless such right has been exercised within three months next before the receipt under subsection 1 of the report of a police officer or other information leading to the institution of the inquiry.,CrPC,law_info
under what circumstances can a magistrate make an order for rights exercisable at all times of the year?,a magistrate can make an order for rights exercisable at all times of the year only if such right has been exercised within three months next before the receipt under subsection 1 of the report of a police officer or other information leading to the institution of the inquiry.,CrPC,law_info
what is the provision of section 145?,the text does not provide specific details about the provision of section 145.,CrPC,law_info
does the text provide specific details about the provision of section 145?,"no, the text does not provide specific details about the provision of section 145.",CrPC,law_info
what can a magistrate do if they find that the dispute is regarding an alleged right of user of land or water?,"they may continue with the proceedings as if they had been commenced under subsection 1, after recording their reasons.",CrPC,law_info
what should a magistrate do after recording their reasons if the dispute is regarding an alleged right of user of land or water?,they may continue with the proceedings as if they had been commenced under subsection 1.,CrPC,law_info
what action can a magistrate take when they find that a dispute should be dealt with under section 145?,"the magistrate may continue with the proceedings as if they had been commenced under subsection 1 of section 145, after recording his reasons.",CrPC,law_info
what should a magistrate do after recording his reasons if a dispute should be dealt with under section 145?,the magistrate may continue with the proceedings as if they had been commenced under subsection 1 of section 145.,CrPC,law_info
"what can a district magistrate or subdivisional magistrate do when a local inquiry is necessary for the purposes of section 145, section 146 or section 147?","they may depute any magistrate subordinate to him to make the inquiry, and may furnish him with such written instructions.",CrPC,law_info
"who can a district magistrate or subdivisional magistrate depute to make an inquiry for the purposes of section 145, section 146 or section 147, and what might they provide them with?","they may depute any magistrate subordinate to him to make the inquiry, and may furnish him with such written instructions.",CrPC,law_info
who can declare by whom the necessary expenses of the inquiry shall be paid?,the person deputed for guidance can declare by whom the necessary expenses of the inquiry shall be paid.,CrPC,law_info
who is responsible for declaring by whom the necessary expenses of the inquiry shall be paid?,the person deputed for guidance is responsible for declaring by whom the necessary expenses of the inquiry shall be paid.,CrPC,law_info
can the report of the person deputed be read as evidence in the case?,"yes, the report of the person so deputed may be read as evidence in the case.",CrPC,law_info
is it possible for the report of a deputed individual to be used as evidence in a case?,"yes, the report of the person so deputed may be read as evidence in the case.",CrPC,law_info
"who may direct by whom such costs shall be paid in a proceeding under section 145, section 146 or section 147?",the magistrate passing a decision may direct by whom such costs shall be paid.,CrPC,law_info
"who has the authority to decide who pays the costs in a proceeding under section 145, section 146 or section 147?",the magistrate passing a decision has the authority.,CrPC,law_info
what is the role of a police officer under chapter xi?,"under chapter xi, every police officer may interpose for the purpose of preventing, and shall, to the best of his ability, prevent, the commission of any cognizable offence.",CrPC,law_info
"under which chapter does it state that every police officer may interpose for the purpose of preventing, and shall, to the best of his ability, prevent, the commission of any cognizable offence?",this is stated under chapter xi.,CrPC,law_info
what is the responsibility of a police officer when receiving information of design to commit cognizable offences?,the police officer is expected to take action in order to prevent the commission of the offence.,CrPC,law_info
what is expected of a police officer when they receive information of plans to commit a cognizable offence?,the police officer is expected to take action in order to prevent the commission of the offence.,CrPC,law_info
what should a police officer do if he knows of a design to commit a cognizable offence?,"a police officer should communicate such information to the police officer to whom he is subordinate, and to any other officer whose duty it is to prevent or take cognizance of the commission of any such offence.",CrPC,law_info
who should a police officer communicate with if he becomes aware of a design to commit a cognizable offence?,"a police officer should communicate such information to the police officer to whom he is subordinate, and to any other officer whose duty it is to prevent or take cognizance of the commission of any such offence.",CrPC,law_info
under what conditions can a police officer arrest a person without a warrant?,a police officer can arrest a person without a warrant if he knows of a design to commit any cognizable offence and it appears to such officer that the commission of the offence cannot be otherwise prevented.,CrPC,law_info
what justifies a police officer to arrest a person without a warrant?,"if the officer knows of a design to commit any cognizable offence and it appears to such officer that the commission of the offence cannot be otherwise prevented, he can arrest the person without a warrant.",CrPC,law_info
what is the maximum period a person can be detained in custody after being arrested under subsection 1?,a person can be detained in custody for a period not exceeding twentyfour hours from the time of his arrest unless his further detention is required or authorised under any other provisions of this code or of any other law for the time being in force.,CrPC,law_info
what is the longest duration for which a person can be kept in custody from the time of his arrest unless his further detention is required or authorised under any other provisions of this code or of any other law for the time being in force?,the maximum period a person can be detained in custody after being arrested under subsection 1 is twentyfour hours.,CrPC,law_info
what is the duty of a police officer with regards to preventing damage to public property?,a police officer may of his own authority interpose to prevent any injury attempted to be committed to public property.,CrPC,law_info
what can a police officer do on his own authority in relation to potential damage to public property?,a police officer may of his own authority interpose to prevent any injury attempted to be committed to public property.,CrPC,law_info
what can an officer in charge of a police station do without a warrant according to section 153?,"the officer can enter any place within the limits of such station for the purpose of inspecting or searching for any weights or measures or instruments for weighing, used or kept therein, whenever he has reason to believe that there are in such place any weights, measures or instruments for weighing which are false.",CrPC,law_info
"what can an officer do if he has reason to believe that there are false weights, measures or instruments for weighing in a place within the limits of his police station according to section 153?","the officer can enter any place within the limits of such station for the purpose of inspecting or searching for any weights or measures or instruments for weighing, used or kept therein, without a warrant.",CrPC,law_info
"what can the officer do if he finds false weights, measures or instruments for weighing?","if he finds in such place any weights, measures or instruments for weighing which are false, he may seize the same, and shall forthwith give information of such seizure to a magistrate having jurisdiction.",CrPC,law_info
"what should the officer do upon seizing false weights, measures, or instruments for weighing?",the officer should forthwith give information of such seizure to a magistrate having jurisdiction.,CrPC,law_info
what is information in cognizable cases according to section 154?,"every information relating to the commission of a cognizable offence, if given orally to an officer in charge.",CrPC,law_info
"what happens if information relating to the commission of a cognizable offence is given orally to an officer in charge, according to section 154?",it is considered as information in cognizable cases.,CrPC,law_info
what is not allowed in regards to public property?,the removal or injury of any public landmark or buoy or other mark used for navigation is not allowed.,CrPC,law_info
what is not allowed to be removed or injured that is used for navigation?,any public landmark or buoy or other mark is not allowed to be removed or injured.,CrPC,law_info
what should be done with information given at a police station?,"the information should be reduced to writing by the officer or under his direction, read over to the informant, signed by the person giving it, and the substance thereof should be entered in a book to be kept by the officer in a form prescribed by the state government.",CrPC,law_info
what is the process for handling information given at a police station according to the state government?,"the officer or under his direction should reduce the information to writing, read it over to the informant, and have it signed by the person giving it. the substance of this information should then be entered in a book, which is kept by the officer in a form prescribed by the state government.",CrPC,law_info
what should happen if the information is given by a woman against whom an offence under certain sections of the indian penal code is alleged to have been committed or attempted?,such information should be recorded by a woman police officer or any woman officer.,CrPC,law_info
who should record the information given by a woman against whom an offence under certain sections of the indian penal code is alleged to have been committed or attempted?,such information should be recorded by a woman police officer or any woman officer.,CrPC,law_info
what sections of the indian penal code are mentioned in regards to a woman giving information?,"the sections mentioned are 326a, 326b, 354, 354a, 354b, 354c, 354d, 376, 376a, 376ab, 376b, 376c, 376d, 376da, 376db, 376e and 509.",CrPC,law_info
"which sections of the indian penal code are represented by 326a, 326b, 354, 354a, 354b, 354c, 354d, 376, 376a, 376ab, 376b, 376c, 376d, 376da, 376db, 376e and 509?",these sections are mentioned in regards to a woman giving information.,CrPC,law_info
what is the process if a crime under specific sections of the indian penal code is alleged to have been committed against a mentally or physically disabled person?,"the information shall be recorded by a police officer, at the residence of the person seeking to report such offence or at a convenient place of such persons choice, in the presence of an interpreter or a special educator, as the case may be. the recording of such information shall be video graphed. the police officer shall get the statement of the person recorded by a judicial magistrate under clause a of subsection 5a of section 164 as soon as possible.",CrPC,law_info
"where and how is the information recorded when a crime under specific sections of the indian penal code is alleged to have been committed against a mentally or physically disabled person, and what is the next step after recording?","the information shall be recorded by a police officer, at the residence of the person seeking to report such offence or at a convenient place of such persons choice, in the presence of an interpreter or a special educator, as the case may be. the recording of such information shall be video graphed. the police officer shall then get the statement of the person recorded by a judicial magistrate under clause a of subsection 5a of section 164 as soon as possible.",CrPC,law_info
what happens after the information is recorded under subsection 1?,"a copy of the information as recorded under subsection 1 shall be given forthwith, free of cost, to the informant.",CrPC,law_info
what should be done with the information recorded under subsection 1?,"a copy of the information as recorded under subsection 1 shall be given forthwith, free of cost, to the informant.",CrPC,law_info
what sections of the indian penal code does this process apply to?,"this process applies to sections 354a, 354b, 354c, 354d, 376, 376a, 376ab, 376b, 376c, 376d, 376da, 376db, 376e and 509 of the indian penal code.",CrPC,law_info
"which process applies to sections 354a, 354b, 354c, 354d, 376, 376a, 376ab, 376b, 376c, 376d, 376da, 376db, 376e and 509 of the indian penal code?",this process applies to these sections of the indian penal code.,CrPC,law_info
who can an officer in charge of a police station send information to if they believe a cognizable offence has been committed?,the superintendent of police,CrPC,law_info
who is the person that an officer in charge of a police station can send information to if they believe a cognizable offence has been committed?,the superintendent of police,CrPC,law_info
what can the superintendent of police do if they are satisfied an offence has been committed?,they can either investigate the case themselves or direct an investigation to be made by any police officer subordinate to him.,CrPC,law_info
who can investigate a case if the superintendent of police is satisfied an offence has been committed?,the superintendent of police can either investigate the case themselves or direct an investigation to be made by any police officer subordinate to him.,CrPC,law_info
what powers does the instructed officer have in regards to the offence?,the instructed officer shall have all the powers of an officer in charge of the police station in relation to that offence.,CrPC,law_info
who holds all the powers of an officer in charge of a police station in relation to an offence?,the instructed officer does.,CrPC,law_info
what is the term used when the superintendent of police believes a crime has been committed?,the commission of a cognizable offence.,CrPC,law_info
who typically believes a crime has been committed when a cognizable offence is commissioned?,the superintendent of police,CrPC,law_info
what state amendment is mentioned?,chhattisgarh,CrPC,law_info
which states amendment is being discussed?,chhattisgarh,CrPC,law_info
what is the section of the code of criminal procedure that was amended in chhattisgarh?,section 154,CrPC,law_info
which section of the code of criminal procedure was amended in chhattisgarh?,section 154,CrPC,law_info
what should an officer do when information is given about a noncognizable offence within his stations limits?,"he shall enter or cause to be entered the substance of the information in a book to be kept by such officer in such form as the state government may prescribe in this behalf, and refer the informant to the magistrate.",CrPC,law_info
"what should an officer do when given information about a noncognizable offence, in terms of documentation and referral?","the officer shall enter or cause to be entered the substance of the information in a book in a form prescribed by the state government, and refer the informant to the magistrate.",CrPC,law_info
can a police officer investigate a noncognizable case without the order of a magistrate?,"no, a police officer shall not investigate a noncognizable case without the order of a magistrate having power to try such case or commit the case for trial.",CrPC,law_info
who needs to order an investigation for a noncognizable case for a police officer to investigate it?,a magistrate having power to try such case or commit the case for trial needs to order an investigation for a noncognizable case for a police officer to investigate it.,CrPC,law_info
what powers can a police officer exercise when receiving an order to investigate a noncognizable case?,any police officer receiving such order may exercise the same powers in respect of the investigation except the power to arrest without warrant as an officer in charge of a police station may exercise in a cognizable case.,CrPC,law_info
"what powers does a police officer, who is ordered to investigate a noncognizable case, have that are identical to those of an officer in charge of a police station in a cognizable case?",any police officer receiving such order may exercise the same powers in respect of the investigation except the power to arrest without warrant as an officer in charge of a police station may exercise in a cognizable case.,CrPC,law_info
"what should be substituted for section 509, section 509a or section 509b?",this information is not provided in the given text.,CrPC,law_info
"is there any information provided in the text about what should be substituted for section 509, section 509a or section 509b?","no, this information is not provided in the given text.",CrPC,law_info
"what is the relevance of chhattisgarh act 25 of 2015, s. 7 in this context?",this information is not provided in the given text.,CrPC,law_info
"what information is provided in the given text about chhattisgarh act 25 of 2015, s. 7?",this information is not provided in the given text.,CrPC,law_info
what is a cognizable case?,a cognizable case is one that is recognisable by a court and can be investigated by a police officer without the order of a magistrate.,CrPC,law_info
what does it mean for a case to be recognisable by a court and can be investigated by a police officer without the order of a magistrate?,it means that the case is a cognizable case.,CrPC,law_info
"what does section 156 of the code of criminal procedure, 1973, pertain to?",section 156 pertains to the power of a police officer to investigate a cognizable case without the order of a magistrate.,CrPC,law_info
"what does section 156 of the code of criminal procedure, 1973, grant a police officer the power to do?",section 156 grants a police officer the power to investigate a cognizable case without the order of a magistrate.,CrPC,law_info
can the proceedings of a police officer in a cognizable case be questioned?,"no, the proceeding of a police officer in a cognizable case shall not be called into question on the grounds that the case was one which the officer was not empowered to investigate.",CrPC,law_info
can a police officers investigation be called into question if the case was one he was not empowered to investigate?,"no, the proceeding of a police officer in a cognizable case shall not be called into question on the grounds that the case was one which the officer was not empowered to investigate.",CrPC,law_info
who else can order an investigation into a cognizable case?,any magistrate empowered under section 190 may order an investigation into a cognizable case.,CrPC,law_info
who is empowered under section 190 to order an investigation into a cognizable case?,any magistrate can order an investigation into a cognizable case.,CrPC,law_info
was there a state amendment to section 156 in maharashtra?,"yes, there was a state amendment to section 156 in its application to the state of maharashtra.",CrPC,law_info
was there a state amendment to section 156 in its application to the state of maharashtra?,yes,CrPC,law_info
who cannot be ordered for an investigation under this section without previous sanction?,a person who is or was a public servant as defined under any other law for the time being in force.,CrPC,law_info
what is the definition of the person who cannot be ordered for an investigation under this section without previous sanction?,a person who is or was a public servant as defined under any other law for the time being in force.,CrPC,law_info
under what circumstances can a public servant be ordered for an investigation under this section?,"in respect of the act done by such public servant while acting or purporting to act in the discharge of his official duties, except with the previous sanction under section 197 of the code of criminal procedure, 1973 or under any law for the time being in force.",CrPC,law_info
"what are the requirements for ordering an investigation on a public servant under section 197 of the code of criminal procedure, 1973 or under any law for the time being in force?","an investigation can be ordered if the act was done by the public servant while acting or purporting to act in the discharge of his official duties, but only with the previous sanction.",CrPC,law_info
what is the time period for the sanctioning authority to take a decision on the proposal for sanction?,ninety days from the date of the receipt of the proposal for sanction.,CrPC,law_info
"when should a decision be made on the proposal for sanction, if it was received today?",the decision should be made ninety days from today.,CrPC,law_info
what happens if the sanctioning authority fails to take a decision within the stipulated period of ninety days?,the sanction shall be deemed to have been accorded by the sanctioning authority.,CrPC,law_info
what is assumed if the sanctioning authority does not make a decision within the stipulated ninety days?,the sanction shall be deemed to have been accorded by the sanctioning authority.,CrPC,law_info
what should an officer in charge of a police station do if he suspects the commission of an offence?,"he shall forthwith send a report of the same to a magistrate empowered to take cognizance of such offence upon a police report and shall proceed in person, or shall depute one of his subordinate officers to proceed, to the spot, to investigate the facts and circumstances of the case, and, if necessary, to take measures for the discovery and arrest of the offender.",CrPC,law_info
"what is the protocol for an officer in charge of a police station upon suspecting the commission of an offence, in terms of reporting, investigating, and potentially arresting the offender?","the officer in charge should immediately send a report of the suspected offence to a magistrate empowered to take cognizance of such offence upon a police report. he should then proceed in person, or depute one of his subordinate officers to proceed, to the scene of the suspected offence, to investigate the facts and circumstances of the case. if necessary, he should take measures for the discovery and arrest of the offender.",CrPC,law_info
under what conditions does the officer in charge of a police station not need to proceed in person or depute a subordinate officer to make an investigation on the spot?,when information as to the commission of any such offence is given against any person by name and the case is not of a serious nature.,CrPC,law_info
"what does it imply if the officer in charge of a police station does not proceed in person or depute a subordinate officer to make an investigation on the spot, even when a person is named in the commission of an offence?",it implies that the case is not of a serious nature.,CrPC,law_info
what should the officer in charge do if there is no sufficient ground for investigation?,the officer in charge shall not investigate the case.,CrPC,law_info
what should the officer in charge do if heshe decides not to investigate the case?,the officer in charge should only decide not to investigate the case if there is no sufficient ground for investigation.,CrPC,law_info
where should the statement of a rape victim be recorded?,the statement of the victim should be conducted at the residence of the victim or in the place of her choice.,CrPC,law_info
where should the statement of a rape victim be conducted?,the statement of the victim should be conducted at the residence of the victim or in the place of her choice.,CrPC,law_info
who should ideally conduct the recording of the statement of a rape victim?,"as far as practicable, a woman police officer should conduct the recording of the statement.",CrPC,law_info
"who should conduct the recording of the statement of a rape victim, as far as practicable?",a woman police officer should ideally conduct the recording of the statement of a rape victim.,CrPC,law_info
who should be present when the statement of a rape victim is being recorded?,the recording should be done in the presence of her parents or guardian or near relatives or social worker of the locality.,CrPC,law_info
in whose presence should the statement of a rape victim be recorded?,the recording should be done in the presence of her parents or guardian or near relatives or social worker of the locality.,CrPC,law_info
what should the officer in charge do in cases mentioned in clauses a and b of the proviso to subsection 1?,the officer in charge of the police station shall state in his report his reasons for not fully complying with the requirements of that subsection.,CrPC,law_info
what is the officer in charge of the police station required to state in his report when not fully complying with the requirements of clauses a and b of the proviso to subsection 1?,the officer in charge should state his reasons for not fully complying with the requirements of that subsection.,CrPC,law_info
what should the officer do if he will not investigate the case or cause it to be investigated?,"the officer shall notify the informant, if any, in such manner as may be prescribed by the state government, the fact that he will not investigate the case or cause it to be investigated.",CrPC,law_info
who should the officer notify and how if he decides not to investigate the case or cause it to be investigated?,"the officer shall notify the informant, if any, in such manner as may be prescribed by the state government.",CrPC,law_info
what is the role of a superior officer under section 157?,"the role of a superior officer under section 157 is to receive the report submitted by a subordinate officer if the state government so directs. they can give instructions to the officer and after recording these instructions on the report, they are to transmit it without delay to the magistrate.",CrPC,law_info
what does a superior officer do with the report submitted by a subordinate officer under section 157 and who do they transmit it to?,"a superior officer receives the report submitted by a subordinate officer, if the state government so directs. they can give instructions to the officer and after recording these instructions on the report, they are to transmit it without delay to the magistrate.",CrPC,law_info
what can a magistrate do on receiving such report according to section 159?,"upon receiving the report, the magistrate may direct an investigation or proceed to hold a preliminary inquiry into, or otherwise dispose of, the case in the manner provided in this code. he may also depute any magistrate subordinate to him to proceed with these steps.",CrPC,law_info
"what actions can a magistrate take upon receiving a report according to the code, and can he delegate any of these steps to a subordinate?","upon receiving the report, the magistrate may direct an investigation or proceed to hold a preliminary inquiry into, or otherwise dispose of, the case in the manner provided in this code. he may also depute any magistrate subordinate to him to proceed with these steps.",CrPC,law_info
what power does a police officer have under section 160?,"under section 160, a police officer making an investigation has the power to require the attendance before himself of any person being within the limits of his jurisdiction by order in writing.",CrPC,law_info
who has the power to require the attendance of any person within the limits of their jurisdiction by order in writing during an investigation under section 160?,a police officer making an investigation has this power under section 160.,CrPC,law_info
who can be required to attend an investigation at any place other than their residence?,"only male people between 15 and 65 years old, who are not mentally or physically disabled, can be required to attend an investigation at any place other than their residence.",CrPC,law_info
what are the conditions for a person to be required to attend an investigation at a place other than their residence?,"the person must be a male, aged between 15 and 65 years, and not mentally or physically disabled.",CrPC,law_info
who is responsible for the payment of reasonable expenses for a person attending an investigation at a place other than his residence?,the state government is responsible for the payment of reasonable expenses of every person attending an investigation at any place other than his residence.,CrPC,law_info
who is responsible for the payment of reasonable expenses of every person attending an investigation at any place other than his residence?,the state government is responsible.,CrPC,law_info
who may be examined orally during a police investigation?,any person supposed to be acquainted with the facts and circumstances of the case may be examined orally during a police investigation.,CrPC,law_info
who can be orally examined if they are supposed to be acquainted with the facts and circumstances of a case during a police investigation?,any person may be examined orally during a police investigation if they are supposed to be acquainted with the facts and circumstances of the case.,CrPC,law_info
who has the authority to examine a person orally during a police investigation?,"any police officer making an investigation under this chapter, or any police officer not below such rank as the state government may, by general or special order, prescribe in this behalf, acting on the requisition of such officer, has the authority to examine a person orally during a police investigation.",CrPC,law_info
who has the authority to examine a person orally during a police investigation under this chapter or when acting on the requisition of such officer?,"any police officer making an investigation under this chapter, or any police officer not below such rank as the state government may, by general or special order, prescribe in this behalf has the authority.",CrPC,law_info
what is the obligation of a person being questioned by a police officer according to the text?,"such person shall be bound to answer truly all questions relating to such case put to him by such officer, other than questions the answers to which would have a tendency to expose him to a criminal charge or to a penalty or forfeiture.",CrPC,law_info
"what should a person do if they are being questioned by a police officer in relation to a case, according to the text?","such person shall be bound to answer truly all questions relating to such case put to him by such officer, other than questions the answers to which would have a tendency to expose him to a criminal charge or to a penalty or forfeiture.",CrPC,law_info
what can a police officer do with the statements made to him during an examination?,"the police officer may reduce into writing any statement made to him in the course of an examination under this section and if he does so, he shall make a separate and true record of the statement of each such person whose statement he records.",CrPC,law_info
what happens if a police officer decides to reduce a statement made to him during an examination into writing?,"if a police officer decides to reduce a statement made to him during an examination into writing, he is required to make a separate and true record of the statement of each person whose statement he records.",CrPC,law_info
what is the provision about recording statement made under this subsection?,statement made under this subsection may also be recorded by audiovideo electronic means.,CrPC,law_info
how can a statement made under this subsection be recorded?,a statement made under this subsection may be recorded by audiovideo electronic means.,CrPC,law_info
what is the further provision about the statement of a woman?,"the statement of a woman against whom an offence under section 354, section 354a, section 354b, section 354c, section 354d, section 376, section 376a, should be recorded.",CrPC,law_info
which sections of the law should the statement of a woman against whom an offence has been committed be recorded under?,"the statement of a woman against whom an offence has been committed should be recorded under section 354, section 354a, section 354b, section 354c, section 354d, section 376, section 376a.",CrPC,law_info
who is supposed to record the statement according to the indian penal code 45 of 1860?,a woman police officer or any woman officer.,CrPC,law_info
"who, according to the indian penal code 45 of 1860, is responsible for recording the statement?",a woman police officer or any woman officer.,CrPC,law_info
what is the amendment made by chhattisgarh to subsection 3 of section 161 of the code?,"the statement of the woman against whom an offence under certain sections of the indian penal code is alleged to have been committed or attempted, shall be recorded, as far as possible, by woman police officer and shall also be recorded by audiovideo means, as far as possible.",CrPC,law_info
what does the amendment made by chhattisgarh to subsection 3 of section 161 of the code state about recording the statement of a woman against whom an offence under certain sections of the indian penal code is alleged to have been committed or attempted?,"the statement of the woman shall be recorded, as far as possible, by a woman police officer and shall also be recorded by audiovideo means, as far as possible.",CrPC,law_info
"according to the chhattisgarh amendment, who has the duty to take all necessary steps?",the woman police officer.,CrPC,law_info
"according to the chhattisgarh amendment, what is the duty of the woman police officer?",to take all necessary steps.,CrPC,law_info
should a statement made to a police officer during an investigation be signed by the person making it?,no,CrPC,law_info
is it necessary for a person to sign a statement they made to a police officer during an investigation?,no,CrPC,law_info
can such a statement or any record of it be used for any purpose at any inquiry or trial?,"no, unless as provided hereinafter",CrPC,law_info
can a statement or any record of it be utilized at any inquiry or trial without any specific provisions?,no,CrPC,law_info
when can a part of a witnesss statement be used in an inquiry or trial?,"any part of his statement, if duly proved, may be used by the accused, and with the permission of the court, by the prosecution, to contradict such witness in the manner provided by section 145 of the indian evidence act, 1872.",CrPC,law_info
"who can use a part of a witnesss statement in an inquiry or trial according to the indian evidence act, 1872, and under what conditions?","any part of his statement may be used by the accused if duly proved. with the permission of the court, the prosecution can also use it to contradict such witness in the manner provided by section 145 of the indian evidence act, 1872.",CrPC,law_info
can a statement made to a police officer in the course of an investigation be used in a police diary or otherwise?,"no, unless as provided hereinafter",CrPC,law_info
"can a statement made to a police officer in the course of an investigation be utilized in any form, including a police diary, without specific provision?",no,CrPC,law_info
what can be used in the reexamination of a witness according to the text?,any part of a statement used in the original examination can be used in the reexamination of such witness.,CrPC,law_info
what can be used in the reexamination of a witness if it was used in the original examination?,any part of a statement can be used in the reexamination of such witness.,CrPC,law_info
what is the purpose of using a part of a statement in the reexamination of a witness?,the purpose is only for explaining any matter referred to in his crossexamination.,CrPC,law_info
what is the purpose of explaining any matter referred to in a witnesss crossexamination?,the purpose is to use a part of a statement in the reexamination of the witness.,CrPC,law_info
what does this section not apply to according to the text?,"this section does not apply to any statement falling within the provisions of clause 1 of section 32 of the indian evidence act, 1872 or to affect the provisions of section 27 of that act.",CrPC,law_info
"which provisions does this section not apply to based on the indian evidence act, 1872?","this section does not apply to any statement falling within the provisions of clause 1 of section 32 or to affect the provisions of section 27 of the indian evidence act, 1872.",CrPC,law_info
what might an omission to state a fact or circumstance in the statement amount to?,an omission to state a fact or circumstance in the statement may amount to contradiction if the same appears to be significant and otherwise relevant having regard to the context in which such omission occurs.,CrPC,law_info
what does an omission of a significant and relevant fact or circumstance in a statement potentially indicate?,"an omission to state a fact or circumstance in the statement may indicate a contradiction, depending on the context in which such omission occurs.",CrPC,law_info
who should not offer or make any inducement as per the text?,"no police officer or other person in authority should offer or make any such inducement, threat or promise.",CrPC,law_info
"who should not offer or make any inducements, threats or promises as per the rules of authority?",no police officer or other person in authority,CrPC,law_info
"what does section 24 of the indian evidence act, 1872 state?","section 24 of the indian evidence act, 1872 is not described in the provided text.",CrPC,law_info
"is the description of section 24 of the indian evidence act, 1872 provided in the given text?","no, the description of section 24 of the indian evidence act, 1872 is not provided in the given text.",CrPC,law_info
who is not allowed to prevent any person from making a statement during an investigation according to the text?,no police officer or other person shall prevent any person from making a statement during an investigation.,CrPC,law_info
"who shall not prevent any person from making a statement during an investigation, according to the text?",no police officer or other person.,CrPC,law_info
"what is the context of the amendments by act 5 of 2009, act 13 of 2013 and act 22 of 2018?","the context of the amendments by act 5 of 2009, act 13 of 2013 and act 22 of 2018 is not provided in the given text.",CrPC,law_info
"is the context of the amendments by act 5 of 2009, act 13 of 2013 and act 22 of 2018 provided in the given text?","no, the context of the amendments by act 5 of 2009, act 13 of 2013 and act 22 of 2018 is not provided in the given text.",CrPC,law_info
what is stated in section 164 about the recording of confessions and statements?,"any metropolitan magistrate or judicial magistrate may, whether or not he has jurisdiction in the case, record any confession or statement made to him in the course of an investigation under this chapter or under any other law for the time being in force, or at any time afterwards before the commencement of the inquiry or trial.",CrPC,law_info
"who is authorized to record any confession or statement made in the course of an investigation under any law, or at any time afterwards before the commencement of the inquiry or trial, according to the law?","any metropolitan magistrate or judicial magistrate may, whether or not he has jurisdiction in the case.",CrPC,law_info
what does the subsection under discussion specify about the provisions of subsection 4 of section 164?,the subsection specifies that nothing in it shall affect the provisions of subsection 4 of section 164.,CrPC,law_info
what impact does the subsection under discussion have on the provisions of subsection 4 of section 164?,the subsection specifies that nothing in it shall affect the provisions of subsection 4 of section 164.,CrPC,law_info
can a confession or statement be recorded by audiovideo electronic means?,"yes, a confession or statement can be recorded by audiovideo electronic means in the presence of the advocate of the person accused of an offence.",CrPC,law_info
can a confession or statement be recorded by audiovideo electronic means in the presence of the advocate of the person accused of an offence?,yes,CrPC,law_info
can a police officer record a confession if they have been conferred power of a magistrate?,"no, no confession shall be recorded by a police officer on whom any power of a magistrate has been conferred.",CrPC,law_info
who is not allowed to record a confession if they have been conferred power of a magistrate?,a police officer is not allowed to record a confession if they have been conferred power of a magistrate.,CrPC,law_info
what should the magistrate explain to the person before recording their confession?,"the magistrate should explain to the person that they are not bound to make a confession and that, if they do so, it may be used as evidence against them.",CrPC,law_info
what should a person be told before their confession is recorded by the magistrate?,"the person should be told by the magistrate that they are not bound to make a confession and that, if they do so, it may be used as evidence against them.",CrPC,law_info
under what condition can a magistrate record a confession?,"the magistrate can record the confession if upon questioning the person making it, he has reason to believe that it is being made voluntarily.",CrPC,law_info
what is the requirement for a magistrate to believe a confession is made voluntarily?,the magistrate needs to question the person making the confession and have reason to believe it is being made voluntarily.,CrPC,law_info
what happens if the person is not willing to make the confession before it is recorded?,"if the person is not willing to make the confession, the magistrate shall not authorise the detention of such person in police custody.",CrPC,law_info
what should the magistrate do if a person is not willing to make a confession?,"if the person is not willing to make the confession, the magistrate shall not authorise the detention of such person in police custody.",CrPC,law_info
